City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Belcesti,RO,2021-12-04 00:23:38,47.3,27.0833,37.17,78,100,3.87
261,Cedral,MX,2021-12-04 00:23:39,23.8,-100.7333,68.68,36,24,1.34
262,Mattru,SL,2021-12-04 00:23:39,7.6244,-11.8332,75.74,93,74,1.21
263,Kahului,US,2021-12-04 00:23:39,20.8947,-156.47,74.84,95,90,18.41
264,Whitehorse,CA,2021-12-04 00:23:40,60.7161,-135.0538,-0.98,77,90,5.99
265,Tselinnoye,RU,2021-12-04 00:23:40,53.0833,85.6667,26.91,89,94,13.24
266,Puerto Palomas,MX,2021-12-04 00:23:40,31.7667,-107.6167,69.13,22,1,6.82
267,Ayorou,NE,2021-12-04 00:23:41,14.7308,0.9174,77.43,14,52,9.57
268,Mastic Beach,US,2021-12-04 00:23:41,40.7668,-72.8521,41.99,55,1,3.0
269,Hervey Bay,AU,2021-12-04 00:22:04,-25.2986,152.8535,84.02,62,6,5.01
270,Plettenberg Bay,ZA,2021-12-04 00:23:41,-34.0527,23.3716,59.58,78,98,2.77
271,Udachnyy,RU,2021-12-04 00:19:41,66.4167,112.4,-5.76,98,100,11.72
272,Atambua,ID,2021-12-04 00:23:42,-9.1061,124.8925,77.23,81,98,3.15
273,Zavodouspenskoye,RU,2021-12-04 00:23:42,56.8626,65.0155,25.02,89,53,8.52
274,Nizwa,OM,2021-12-04 00:23:43,22.9333,57.5333,64.36,59,2,2.84
275,Reidsville,US,2021-12-04 00:23:43,36.3549,-79.6645,64.94,62,1,0.0
276,Abeche,TD,2021-12-04 00:24:43,13.8292,20.8324,74.73,22,1,8.68
277,Aitape,PG,2021-12-04 00:24:44,-3.1374,142.3475,85.66,70,97,4.0
278,Sao Sebastiao,BR,2021-12-04 00:24:44,-23.76,-45.4097,70.14,89,86,4.9
279,Vila,PT,2021-12-04 00:24:44,42.0304,-8.1588,45.48,95,100,5.95
280,Glazov,RU,2021-12-04 00:24:44,58.1394,52.6584,29.84,97,99,8.79
281,Nelson Bay,AU,2021-12-04 00:24:45,-32.7167,152.15,71.1,91,83,1.99
282,Ligayan,PH,2021-12-04 00:24:45,4.6533,119.4706,80.64,82,100,7.67
283,Axim,GH,2021-12-04 00:24:46,4.8699,-2.2405,79.41,86,38,7.31
284,Dzilam Gonzalez,MX,2021-12-04 00:24:46,21.2833,-88.9333,75.99,70,94,8.25
285,Rurrenabaque,BO,2021-12-04 00:24:46,-14.4413,-67.5278,79.84,79,83,0.92
286,Ahipara,NZ,2021-12-04 00:24:47,-35.1667,173.1667,65.68,88,100,7.78
287,Payson,US,2021-12-04 00:24:47,40.0444,-111.7321,55.0,56,1,0.0
288,Sigli,ID,2021-12-04 00:24:47,5.3848,95.9609,76.75,84,100,10.56
289,Kampot,KH,2021-12-04 00:24:48,10.6167,104.1833,75.25,81,57,9.6
290,Coolum Beach,AU,2021-12-04 00:24:48,-26.5333,153.1,84.34,69,10,6.69
